english_word	offset	definition	c_lu_id	spelling	provenance
taciturn	eng-30-02383380-a	habitually reserved and uncommunicative	r_a-16483	zwijgzaam	google_opus_std-dict
talented	eng-30-01119192-a	endowed with talent or talents	r_a-11325	getalenteerd	google_opus_std-dict
phylogenetic	eng-30-02942958-a	of or relating to the evolutionary development of organisms	d_a-84358	fylogenetisch	automatic-rule-1_google_bing_std-dict
oligarchic	eng-30-02770742-a	of or relating to or supporting or characteristic of an oligarchy	d_a-189672	oligarchisch	google_std-dict
perplexed	eng-30-01765643-a	full of difficulty or confusion or bewilderment	r_a-14194	perplex	opus_std-dict
unstratified	eng-30-00208946-a	not deposited in layers	d_a-193982	ongelaagd	automatic-rule-1_google_std-dict
commodious	eng-30-00475996-a	large and roomy (`convenient' is archaic in this sense)	r_a-8654	aangenaam	bing_alt-dict
bimolecular	eng-30-02900932-a	relating to or affecting two molecules	d_a-31171	bimoleculair	automatic-rule-1_google_std-dict
snow-capped	eng-30-02798267-a	(of mountains) capped with a covering of snow	r_a-9542	besneeuwd	google_alt-dict
egoistical	eng-30-00101800-a	limited to or caring only about yourself and your own needs	r_a-10393	egoïstisch	automatic-rule-1_google_std-dict
mediatorial	eng-30-02989921-a	of or relating to a mediator or the duties of a mediator	d_a-401438	bemiddelend	google_std-dict
combined	eng-30-01329830-a	made or joined or united into one	d_a-523067	gecombineerd	bing_opus_std-dict
peaty	eng-30-02775599-a	of or pertaining to or of the nature of peat	d_a-300036	turfachtig	automatic-rule-1_bing_std-dict
punctual	eng-30-01900349-a	acting or arriving or performed exactly at the time appointed	r_a-14433	punctueel	opus_std-dict
odourless	eng-30-01057775-a	having no odor	d_a-239301	reukloos	bing_opus_std-dict
four-footed	eng-30-00241816-a	having four feet	d_a-316435	viervoetig	automatic-rule-1_bing_std-dict
merciless	eng-30-01507402-a	having or showing no mercy	r_a-12795	meedogenloos	opus_alt-dict
unsystematic	eng-30-02383151-a	lacking systematic arrangement or method or organization	d_a-195096	onsystematisch	google_bing_opus_std-dict
trivalent	eng-30-03126399-a	having a valence of three	d_a-65504	driewaardig	bing_opus_std-dict
serological	eng-30-02987760-a	of or relating to serology	d_a-284076	serologisch	automatic-rule-1_google_bing_opus_std-dict
seductive	eng-30-02097268-a	tending to entice into a desired action or state	r_a-15981	verleidelijk	bing_opus_alt-dict
histologic	eng-30-03072365-a	of or relating to histology	d_a-109898	histologisch	automatic-rule-1_google_bing_opus_std-dict
marital	eng-30-02852920-a	of or relating to the state of marriage	r_a-10348	echtelijk	google_std-dict
categorial	eng-30-02683869-a	of or relating to the concept of categories	r_a-9806	categoriaal	google_bing_alt-dict
sisterly	eng-30-00291665-a	like or characteristic of or befitting a sister	r_a-16558	zusterlijk	automatic-rule-1_bing_opus_std-dict
unvaried	eng-30-02507968-a	lacking variety	r_a-13725	onveranderlijk	bing_std-dict
retractile	eng-30-02007508-a	capable of retraction; capable of being drawn back	d_a-126955	intrekbaar	google_std-dict
adroit	eng-30-00061262-a	quick or skillful or adept in action or thought	r_a-9190	behendig	google_std-dict
loving	eng-30-01463965-a	feeling or showing love and affection	r_a-12204	liefdevol	opus_alt-dict
semantic	eng-30-02842042-a	of or relating to meaning or the study of meaning	r_a-15135	semantisch	google_opus_std-dict
exegetical	eng-30-02724166-a	relating to exegesis	d_a-78591	exegetisch	automatic-rule-1_google_bing_opus_std-dict
opposed	eng-30-01662756-a	being in opposition or having an opponent	r_a-15383	tegenovergesteld	opus_std-dict
unobtrusive	eng-30-01614988-a	not obtrusive or undesirably noticeable	r_a-13628	onopvallend	opus_std-dict
nonspecific	eng-30-01105620-a	not caused by a specific agent; used also of staining in making microscope slides	d_a-13974	aspecifiek	automatic-rule-1_google_std-dict
catatonic	eng-30-03054551-a	characterized by catatonia especially either rigidity or extreme laxness of limbs	d_a-55227	catatonisch	opus_std-dict
inconspicuous	eng-30-00581401-a	not prominent or readily noticeable	r_a-13628	onopvallend	google_bing_opus_alt-dict
sarcastic	eng-30-02079029-a	expressing or expressive of ridicule that wounds	r_a-14792	sarcastisch	google_opus_std-dict
uneducated	eng-30-00830717-a	not having a good education	r_a-16103	volks	bing_std-dict
elapsed	eng-30-03148724-a	(of time) having passed or slipped by	d_a-418684	verstreken	google_bing_opus_std-dict
carcinogenic	eng-30-02679858-a	causing or tending to cause cancer	r_a-12561	kankerverwekkend	opus_alt-dict
hearable	eng-30-00173764-a	heard or perceptible by the ear	r_a-11751	hoorbaar	google_bing_std-dict
endothermal	eng-30-00872510-a	(of a chemical reaction or compound) occurring or formed with absorption of heat	d_a-74025	endotherm	automatic-rule-1_google_std-dict
specialised	eng-30-02277607-a	developed or designed for a special activity or function	r_a-11315	gespecialiseerd	bing_opus_std-dict
even-toed	eng-30-02643673-a	of or relating to or belonging to mammals of the order Artiodactyla	d_a-76305	evenhoevig	automatic-rule-1_google_std-dict
compliant	eng-30-00696518-a	disposed or willing to comply	r_a-16102	volgzaam	opus_std-dict
sporadic	eng-30-00593374-a	recurring in scattered and irregular or unpredictable instances	r_a-15165	sporadisch	automatic-rule-1_bing_opus_std-dict
vaginal	eng-30-03128070-a	of or relating to the vagina	d_a-305148	vaginaal	google_opus_std-dict
unwrapped	eng-30-02087723-a	not yet wrapped or having the wrapping removed	r_a-13515	ongeopend	google_alt-dict
bibliographical	eng-30-02662538-a	relating to or dealing with bibliography	d_a-29898	bibliografisch	google_std-dict
loamy	eng-30-01425300-a	consisting of or having the character of loam	r_a-16857	Haspengouws	automatic-rule-1_bing_std-dict
concentric	eng-30-00542953-a	having a common center	r_a-9756	concentrisch	bing_opus_alt-dict
impervious	eng-30-01773665-a	not admitting of passage or capable of being affected	r_a-13421	ondoordringbaar	google_bing_opus_std-dict
postwar	eng-30-00130017-a	belonging to the period after a war	r_a-13062	naoorlogs	google_std-dict
macaronic	eng-30-02758328-a	of or containing a mixture of Latin words and vernacular words jumbled together	d_a-180267	macaronisch	google_std-dict
fatalistic	eng-30-03065516-a	of or relating to fatalism	r_a-10644	fatalistisch	opus_std-dict
unsalable	eng-30-02062358-a	impossible to sell	d_a-208482	onverkoopbaar	google_std-dict
merited	eng-30-01371137-a	properly deserved	r_a-16218	verdiend	bing_std-dict
unshaven	eng-30-02153817-a	not shaved	r_a-13528	ongeschoren	google_bing_opus_std-dict
unbaptised	eng-30-02594443-a	not having undergone the Christian ritual of baptism	d_a-208151	ongedoopt	automatic-rule-1_google_std-dict
bacteriologic	eng-30-02914740-a	of or relating to bacteriology	r_a-9517	bacteriologisch	google_bing_alt-dict
inspiring	eng-30-01323096-a	stimulating or exalting to the spirit	r_a-12037	inspirerend	opus_std-dict
unrighteous	eng-30-02037272-a	not righteous	r_a-16438	zondig	google_std-dict
homogenous	eng-30-01199751-a	all of the same or similar kind or nature	r_a-11665	homogeen	opus_std-dict
restful	eng-30-01922227-a	affording physical or mental rest	r_a-14709	rustgevend	automatic-rule-1_bing_std-dict
aluminous	eng-30-02615207-a	pertaining to or containing aluminum or alum	d_a-19295	aluminiumhoudend	automatic-rule-1_bing_std-dict
unaltered	eng-30-00353206-a	remaining in an original state	r_a-13544	ongewijzigd	google_std-dict
unstoppable	eng-30-02288118-a	not capable of being stopped	r_a-13671	onstuitbaar	google_alt-dict
marmoreal	eng-30-02994872-a	of or relating to or characteristic of marble	d_a-180357	marmerachtig	google_std-dict
light-footed	eng-30-01192248-a	(of movement) having a light and springy step	r_a-12195	lichtvoetig	bing_std-dict
bibliographic	eng-30-02662538-a	relating to or dealing with bibliography	d_a-29898	bibliografisch	google_opus_std-dict
geophysical	eng-30-02908235-a	of or concerned with geophysics	d_a-90487	geofysisch	google_std-dict
endothermic	eng-30-00872510-a	(of a chemical reaction or compound) occurring or formed with absorption of heat	d_a-74025	endotherm	automatic-rule-1_google_bing_opus_std-dict
ferrous	eng-30-02726429-a	of or relating to or containing iron	r_a-12016	ijzerhoudend	opus_alt-dict
invertible	eng-30-02595255-a	having an additive or multiplicative inverse	r_a-13248	omkeerbaar	google_std-dict
spatial	eng-30-02841066-a	pertaining to or involving or having the nature of space	r_a-14652	ruimtelijk	bing_opus_alt-dict
unimpressive	eng-30-01286539-a	not capable of impressing	r_a-11901	indrukwekkend	google_bing_std-dict
gastronomic	eng-30-02975840-a	of or relating to gastronomy	d_a-86961	gastronomisch	automatic-rule-1_bing_opus_std-dict
marital	eng-30-02852920-a	of or relating to the state of marriage	r_a-11760	huwelijks	opus_alt-dict
unicellular	eng-30-02820395-a	having or consisting of a single cell	r_a-10477	eencellig	google_bing_alt-dict
constipated	eng-30-00638253-a	have difficult or incomplete or infrequent evacuation of the bowels	d_a-87611	geconstipeerd	opus_std-dict
datable	eng-30-00681409-a	that can be given a date	d_a-56563	dateerbaar	google_std-dict
impassable	eng-30-01725273-a	incapable of being passed	r_a-13688	ontoegankelijk	opus_std-dict
unmarried	eng-30-01482228-a	not married or related to the unmarried state	r_a-13480	ongehuwd	opus_alt-dict
marital	eng-30-02852920-a	of or relating to the state of marriage	r_a-10348	echtelijk	bing_opus_alt-dict
selfish	eng-30-02098325-a	concerned chiefly or only with yourself and your advantage to the exclusion of others	r_a-10393	egoïstisch	google_bing_opus_std-dict
immoderate	eng-30-01533120-a	beyond reasonable limits	r_a-13988	overmatig	bing_std-dict
ill-advised	eng-30-00068278-a	without careful prior deliberation or counsel	r_a-13766	onverstandig	bing_std-dict
corbelled	eng-30-03148653-a	having a corbel	d_a-304640	uitspringend	automatic-rule-1_google_std-dict
phonologic	eng-30-02777160-a	of or relating to phonology	r_a-10716	fonologisch	automatic-rule-1_google_std-dict
patriotic	eng-30-01740207-a	inspired by love for your country	d_a-418356	vaderlandslievend	google_opus_std-dict
teutonic	eng-30-02958126-a	of or pertaining to the ancient Teutons or their languages	d_a-289360	Teutoons	automatic-rule-1_bing_opus_std-dict
unimpaired	eng-30-01275395-a	not damaged or diminished in any respect	r_a-13320	onberispelijk	bing_alt-dict
fruitful	eng-30-01080297-a	productive or conducive to producing in abundance	r_a-10758	fruitig	opus_std-dict
allopathic	eng-30-03073110-a	of or relating to the practice of allopathy	d_a-19283	allopathisch	google_std-dict
self-centred	eng-30-00101800-a	limited to or caring only about yourself and your own needs	r_a-10392	egocentrisch	google_bing_std-dict
helpful	eng-30-01195536-a	providing assistance or serving a useful function	r_a-9198	behulpzaam	google_opus_std-dict
overt	eng-30-01704761-a	open and observable; not secret or hidden	r_a-13865	openlijk	bing_opus_alt-dict
unconfirmed	eng-30-01634851-a	not finally established or settled	d_a-192064	onbevestigd	automatic-rule-1_bing_opus_std-dict
attributive	eng-30-00172562-a	of adjectives; placed before the nouns they modify	r_a-8829	attributief	google_bing_std-dict
motorised	eng-30-01559484-a	equipped with a motor or motors	r_a-10928	gemotoriseerd	opus_std-dict
calcitic	eng-30-02674530-a	of or relating to or containing calcite	r_a-12614	kalkhoudend	google_std-dict
motivated	eng-30-01558385-a	provided with a motive or given incentive for action	r_a-11284	gemotiveerd	opus_alt-dict
nearsighted	eng-30-02157226-a	unable to see distant objects clearly	r_a-9303	bijziend	automatic-rule-1_opus_std-dict
prosodic	eng-30-02997329-a	of or relating to the rhythmic aspect of language or to the suprasegmental phonemes of pitch and stress and juncture and nasalization and voicing	d_a-226548	prosodisch	automatic-rule-1_google_bing_std-dict
humorous	eng-30-01264336-a	full of or characterized by humor	r_a-11705	humoristisch	bing_opus_alt-dict
quadrupedal	eng-30-00241816-a	having four feet	d_a-316435	viervoetig	google_bing_std-dict
hydrographical	eng-30-02744720-a	of or relating to the science of hydrography	d_a-114756	hydrografisch	automatic-rule-1_google_std-dict
insectivorous	eng-30-00315383-a	(of animals and plants) feeding on insects	n_a-500548	insectenetend	google_std-dict
sociological	eng-30-02906206-a	of or relating to or determined by sociology	r_a-15150	sociologisch	automatic-rule-1_google_bing_opus_std-dict
seaworthy	eng-30-02087956-a	fit for a sea voyage	r_a-16397	zeewaardig	google_bing_opus_std-dict
interstellar	eng-30-02803150-a	between or among stars	d_a-124016	interstellair	google_opus_std-dict
cognitive	eng-30-02898584-a	of or being or relating to or involving cognition	r_a-9742	cognitief	google_bing_opus_alt-dict
hormonal	eng-30-02934744-a	of or relating to or caused by hormones	r_a-11823	hormonaal	opus_std-dict
indistinct	eng-30-00781168-a	not clearly defined or easy to perceive or understand	r_a-13427	onduidelijk	google_bing_std-dict
semantic	eng-30-02842042-a	of or relating to meaning or the study of meaning	r_a-15135	semantisch	bing_opus_alt-dict
cowardly	eng-30-00264776-a	lacking courage; ignobly timid and faint-hearted	r_a-12123	lafhartig	opus_alt-dict
enclosed	eng-30-01656628-a	closed in or surrounded or included within	d_a-401613	bijgesloten	opus_std-dict
genealogical	eng-30-03067329-a	of or relating to genealogy	r_a-11285	genealogisch	automatic-rule-1_bing_opus_std-dict
expansionist	eng-30-02940292-a	of or involving or guided by expansionism	d_a-76859	expansionistisch	opus_std-dict
abundant	eng-30-00013887-a	present in great quantity	r_a-14004	overvloedig	google_opus_std-dict
unpopular	eng-30-01816956-a	regarded with disfavor or lacking general approval	r_a-11972	impopulair	opus_std-dict
ill-advised	eng-30-00068278-a	without careful prior deliberation or counsel	r_a-13369	onbezonnen	google_std-dict
collapsable	eng-30-00465737-a	capable of collapsing or being collapsed	r_a-10022	demontabel	google_std-dict
bolshevistic	eng-30-02875499-a	of or relating to Bolshevism	d_a-536651	bolsjewistisch	automatic-rule-1_google_std-dict
piezoelectric	eng-30-02980972-a	relating to or involving piezoelectricity	d_a-231885	piëzo-elektrisch	automatic-rule-1_bing_std-dict
argentine	eng-30-02966972-a	of or relating to or characteristic of Argentina or its people	r_a-16695	Argentijns	google_bing_opus_alt-dict
washable	eng-30-02533810-a	capable of being washed without injury	d_a-19175	afwasbaar	bing_std-dict
unportable	eng-30-01526480-a	not portable; not easily moved or transported	d_a-188058	niet-overdraagbaar	google_std-dict
radiographic	eng-30-02837145-a	relating to or produced by radiography	r_a-14665	radiografisch	automatic-rule-1_google_bing_opus_std-dict
nonconductive	eng-30-00558232-a	not able to conduct heat or electricity or sound	d_a-89130	geleidend	google_std-dict
discalced	eng-30-02157041-a	(used of certain religious orders) barefoot or wearing only sandals	d_a-194274	ongeschoeid	automatic-rule-1_google_bing_std-dict
nomothetic	eng-30-02593861-a	relating to or involving the search for abstract universal principles	d_a-185319	nomothetisch	automatic-rule-1_google_std-dict
psycholinguistic	eng-30-02939656-a	of or relating to the psychology of language	d_a-536643	psycholinguïstisch	automatic-rule-1_google_std-dict
unclothed	eng-30-00457598-a	not wearing clothing	d_a-208371	ontkleed	bing_opus_std-dict
displeasing	eng-30-01808822-a	causing displeasure or lacking pleasing qualities	r_a-13260	onaangenaam	bing_std-dict
autographic	eng-30-02651921-a	written in the author's own handwriting	d_a-15056	autografisch	automatic-rule-1_opus_std-dict
proteolytic	eng-30-03019114-a	of or relating to proteolysis	d_a-226668	proteolytisch	automatic-rule-1_google_bing_opus_std-dict
rhomboidal	eng-30-03111656-a	shaped like a rhombus or rhomboid	d_a-245240	ruitvormig	automatic-rule-1_bing_std-dict
exploratory	eng-30-00877345-a	serving in or intended for exploration or discovery	r_a-13931	oriënterend	opus_std-dict
prescriptive	eng-30-00732456-a	pertaining to giving directives or rules	r_a-13181	normatief	opus_std-dict
entomological	eng-30-03063868-a	of or relating to the biological science of entomology	d_a-74416	entomologisch	opus_std-dict
bipedal	eng-30-00241672-a	having two feet	d_a-297313	tweevoetig	automatic-rule-1_google_bing_opus_std-dict
culinary	eng-30-02707659-a	of or relating to or used in cooking	r_a-9796	culinair	opus_std-dict
czarist	eng-30-02710043-a	of or relating to or characteristic of a czar	r_a-15518	tsaristisch	google_bing_opus_alt-dict
pentagonal	eng-30-02834730-a	of or relating to or shaped like a pentagon	d_a-316564	vijfhoekig	google_std-dict
millennial	eng-30-02864824-a	relating to a millennium or span of a thousand years	r_a-10342	duizendjarig	automatic-rule-1_bing_opus_std-dict
holistic	eng-30-01680689-a	emphasizing the organic or functional relation between parts and the whole	r_a-11735	holistisch	google_bing_opus_alt-dict
subtropical	eng-30-02929216-a	of or relating to or characteristic of conditions in the subtropics	r_a-15102	subtropisch	google_opus_std-dict
topped	eng-30-02441642-a	having a top of a specified character	d_a-44652	bekroond	bing_std-dict
dialectical	eng-30-03023644-a	of or relating to or employing dialectic	d_a-59437	dialogisch	opus_std-dict
paniculate	eng-30-03133791-a	having a panicle	d_a-231947	pluimvormig	automatic-rule-1_google_std-dict
sensorial	eng-30-02108665-a	involving or derived from the senses	d_a-258240	sensorisch	automatic-rule-1_bing_std-dict
sugary	eng-30-02337667-a	containing sugar	d_a-277966	suikerachtig	google_std-dict
neurologic	eng-30-02917893-a	of or relating to or used in or practicing neurology	r_a-13119	neurologisch	automatic-rule-1_google_bing_std-dict
irreplaceable	eng-30-01978894-a	impossible to replace	r_a-13773	onvervangbaar	google_opus_std-dict
egoistic	eng-30-00101800-a	limited to or caring only about yourself and your own needs	r_a-10393	egoïstisch	automatic-rule-1_bing_std-dict
oligarchical	eng-30-02770742-a	of or relating to or supporting or characteristic of an oligarchy	d_a-189672	oligarchisch	automatic-rule-1_bing_opus_std-dict
thermoset	eng-30-02410156-a	having the property of becoming permanently hard and rigid when heated or cured	d_a-299821	thermohardend	automatic-rule-1_google_bing_std-dict
nihilistic	eng-30-02911757-a	of or relating to nihilism	r_a-13150	nihilistisch	google_bing_std-dict
distributive	eng-30-00467913-a	serving to distribute or allot or disperse	d_a-61544	distributief	google_std-dict
corpuscular	eng-30-02984998-a	of or relating to corpuscles	d_a-52345	corpusculair	automatic-rule-1_google_bing_opus_std-dict
reticular	eng-30-02006228-a	resembling or forming a network	d_a-239121	reticulair	automatic-rule-1_bing_opus_std-dict
assertive	eng-30-00156101-a	aggressively self-assured	r_a-8817	assertief	bing_opus_std-dict
masochistic	eng-30-02057681-a	deriving pleasure or sexual gratification from being abused or dominated	r_a-12764	masochistisch	opus_std-dict
satanic	eng-30-01132515-s	extremely evil or cruel; expressive of cruelty or befitting hell	r_a-14794	satanisch	automatic-rule-1_bing_opus_std-dict
permeable	eng-30-01772032-a	allowing fluids or gases to pass or diffuse through	d_a-214470	permeabel	automatic-rule-1_bing_opus_std-dict
live-bearing	eng-30-02519029-a	producing living young (not eggs)	d_a-156601	levendbarend	automatic-rule-1_google_std-dict
expansionist	eng-30-02940292-a	of or involving or guided by expansionism	d_a-76859	expansionistisch	automatic-rule-1_google_bing_opus_std-dict
regulated	eng-30-01962310-a	controlled or governed according to rule or principle or law	d_a-102668	gereglementeerd	automatic-rule-1_bing_opus_std-dict
wrinkly	eng-30-01360413-a	marked by wrinkles	r_a-11440	gerimpeld	opus_alt-dict
pedagogical	eng-30-02945971-a	of or relating to pedagogy	r_a-14273	pedagogisch	automatic-rule-1_bing_opus_std-dict
oviparous	eng-30-02519171-a	egg-laying	d_a-78504	eierleggend	google_std-dict
typographic	eng-30-02910248-a	relating to or occurring or used in typography	r_a-15531	typografisch	google_opus_std-dict
philatelic	eng-30-03006854-a	of or relating to philately or of interest to philatelists	d_a-80464	filatelistisch	automatic-rule-1_google_bing_opus_std-dict
barometric	eng-30-02658835-a	relating to atmospheric pressure or indicated by a barometer	d_a-21838	barometrisch	opus_std-dict
unearned	eng-30-00821723-a	not gained by merit or labor or service	r_a-13734	onverdiend	google_opus_std-dict
decentralised	eng-30-01107973-a	withdrawn from a center or place of concentration; especially having power or function dispersed from a central to local authorities	r_a-10170	decentraal	google_alt-dict
centralist	eng-30-02688016-a	advocating centralization	r_a-9807	centralistisch	google_opus_std-dict
papistical	eng-30-02921753-a	of or relating to or supporting Romanism	r_a-14240	paaps	automatic-rule-1_google_std-dict
neuralgic	eng-30-03090456-a	of or relating to or suffering from neuralgia	d_a-184050	neuralgisch	google_std-dict
colloidal	eng-30-02903946-a	of or relating to or having the properties of a colloid	d_a-49460	colloïdaal	google_opus_std-dict
salable	eng-30-02061799-a	capable of being sold; fit for sale	d_a-310412	verkoopbaar	google_bing_std-dict
obvious	eng-30-01618053-a	easily perceived by the senses or grasped by the mind	r_a-10455	evident	opus_std-dict
inexperienced	eng-30-00936740-a	lacking practical experience or training	r_a-13441	onervaren	google_bing_opus_std-dict
acquisitive	eng-30-00029343-a	eager to acquire and possess things especially material possessions or ideas	r_a-11636	hebzuchtig	google_bing_std-dict
uneducated	eng-30-00830717-a	not having a good education	r_a-13625	onopgevoed	google_std-dict
prudent	eng-30-01898129-a	careful and sensible; marked by sound judgment	r_a-16138	voorzichtig	bing_opus_std-dict
ethnographic	eng-30-03064883-a	of or relating to ethnography	d_a-75880	etnografisch	automatic-rule-1_bing_std-dict
conical	eng-30-02844728-a	relating to or resembling a cone	r_a-9762	conisch	google_std-dict
useless	eng-30-02497141-a	having no beneficial use or incapable of functioning usefully	r_a-16421	zinloos	opus_std-dict
unmodified	eng-30-01541013-a	not changed in form or character	r_a-13724	onveranderd	opus_alt-dict
totalistic	eng-30-02818111-a	of or relating to the principles of totalitarianism according to which the state regulates every realm of life	r_a-15440	totalitair	google_alt-dict
unsatisfactory	eng-30-02082218-a	not giving satisfaction	r_a-13358	onbevredigend	opus_alt-dict
saponaceous	eng-30-03026319-a	resembling or having the qualities of soap	d_a-349932	zeepachtig	google_std-dict
reputable	eng-30-01982646-a	having a good reputation	r_a-11006	gerenommeerd	automatic-rule-1_bing_opus_std-dict
poriferous	eng-30-00329396-a	full of pores or vessels or holes	r_a-14351	poreus	google_std-dict
weaned	eng-30-02539034-a	freed of dependence on something especially (for mammals) mother's milk	r_a-11039	gespeend	automatic-rule-1_opus_std-dict
profitable	eng-30-01870889-a	yielding material gain or profit	r_a-14573	rendabel	opus_std-dict
hasidic	eng-30-02738464-a	of or relating to the Jewish Hasidim or its members or their beliefs and practices	r_a-9847	chassidisch	google_bing_opus_alt-dict
inviting	eng-30-01358363-a	attractive and tempting	r_a-8853	aanlokkelijk	google_std-dict
replaceable	eng-30-01978395-a	capable of being replaced	r_a-16271	vervangbaar	bing_alt-dict
nonjudgmental	eng-30-00649405-a	refraining from making judgments especially ones based on personal opinions or standards	r_a-13356	onbevooroordeeld	google_std-dict
ownerless	eng-30-00360569-a	having no owner	r_a-13296	onbeheerd	google_std-dict
socratic	eng-30-03033636-a	of or relating to Socrates or to his method of teaching	d_a-264129	socratisch	opus_std-dict
unpleasant	eng-30-01801600-a	disagreeable to the senses, to the mind, or feelings	r_a-13644	onprettig	opus_std-dict
irreversible	eng-30-01759362-a	incapable of being reversed	r_a-13610	onomkeerbaar	google_bing_opus_alt-dict
rimmed	eng-30-02027147-a	having a rim or a rim of a specified kind	r_a-11822	hoornen	opus_std-dict
moldovan	eng-30-02963128-a	of or relating to or characteristic of Moldova or its people or culture	r_a-17008	Moldavisch	automatic-rule-1_bing_opus_std-dict
identifiable	eng-30-01272397-a	capable of being identified	r_a-11726	herkenbaar	opus_std-dict
haemorrhagic	eng-30-02740223-a	of or relating to a hemorrhage	d_a-108055	hemorragisch	automatic-rule-1_google_bing_opus_std-dict
hertzian	eng-30-03072518-a	of or relating to the physicist Heinrich Hertz or his work	r_a-10222	draadloos	bing_std-dict
uneatable	eng-30-00829496-a	not suitable for food	r_a-13437	oneetbaar	google_std-dict
surprised	eng-30-02357479-a	taken unawares or suddenly and feeling wonder or astonishment	r_a-15933	verbaasd	opus_std-dict
edifying	eng-30-01325451-a	enlightening or uplifting so as to encourage intellectual or moral improvement	r_a-13765	onverstaanbaar	opus_std-dict
unhelpful	eng-30-01198019-a	providing no assistance	r_a-13195	nutteloos	google_std-dict
influential	eng-30-01830134-a	having or exercising influence or power	r_a-11958	invloedrijk	bing_opus_alt-dict
demagogical	eng-30-03060782-a	characteristic of or resembling a demagogue	r_a-10174	demagogisch	automatic-rule-1_google_bing_std-dict
unmanned	eng-30-01479940-a	lacking a crew	r_a-13309	onbemand	opus_std-dict
irreconcilable	eng-30-01986926-a	impossible to reconcile	r_a-13783	onverzoenlijk	google_opus_std-dict
undeniable	eng-30-00721505-a	not possible to deny	r_a-13593	onmiskenbaar	bing_opus_alt-dict
insufficient	eng-30-02336449-a	of a quantity not able to fulfill a need or requirement	r_a-13690	ontoereikend	opus_alt-dict
unpardonable	eng-30-01721530-a	not admitting of pardon	r_a-13741	onvergeeflijk	google_std-dict
pulmonary	eng-30-02935115-a	relating to or affecting the lungs	d_a-227957	pulmonair	opus_std-dict
contractual	eng-30-02702656-a	relating to or part of a binding legal agreement	r_a-9775	contractueel	google_std-dict
missional	eng-30-02765506-a	relating to or connected to a religious mission	r_a-12907	missionair	google_alt-dict
napoleonic	eng-30-03035876-a	of or relating to or like Napoleon Bonaparte	r_a-13063	napoleontisch	bing_opus_alt-dict
unexpected	eng-30-00930290-a	not expected or anticipated	r_a-13775	onverwacht	google_opus_std-dict
irremediable	eng-30-01962819-a	impossible to remedy or correct or redress	r_a-13565	onherstelbaar	google_alt-dict
unmodifiable	eng-30-00350384-a	incapable of being modified in form or character or strength (especially by making less extreme)	r_a-13725	onveranderlijk	google_alt-dict
electrophoretic	eng-30-02718845-a	of or relating to electrophoresis	d_a-73337	elektroforetisch	automatic-rule-1_google_bing_std-dict
geodetic	eng-30-02993362-a	of or relating to or determined by geodesy	d_a-90478	geodetisch	automatic-rule-1_google_bing_opus_std-dict
dactylic	eng-30-03059340-a	of or consisting of dactyls	d_a-55564	dactylisch	google_std-dict
domineering	eng-30-00787136-a	tending to domineer	r_a-16585	heerszuchtig	google_std-dict
proteinaceous	eng-30-02785757-a	relating to or of the nature of protein	d_a-78518	eiwitachtig	automatic-rule-1_opus_std-dict
octangular	eng-30-02834862-a	of or relating to or shaped like an octagon	d_a-4368	achthoekig	google_std-dict
incongruous	eng-30-00562469-a	lacking in harmony or compatibility or appropriateness	r_a-13523	ongerijmd	opus_alt-dict
undifferentiated	eng-30-00744506-a	not differentiated	r_a-13467	ongedifferentieerd	automatic-rule-1_google_opus_std-dict
syntagmatic	eng-30-02808653-a	related as members of a syntagma	d_a-278911	syntagmatisch	automatic-rule-1_google_bing_std-dict
inelegant	eng-30-00851103-a	lacking in refinement or grace or good taste	d_a-208117	onelegant	automatic-rule-1_opus_std-dict
believable	eng-30-00644839-a	capable of being believed	r_a-11280	geloofwaardig	google_alt-dict
maladaptive	eng-30-00046673-a	showing faulty adaptation	r_a-13261	onaangepast	automatic-rule-1_google_std-dict
immutable	eng-30-00356648-a	not subject or susceptible to change or variation in form or quality or nature	d_a-197016	onveranderbaar	bing_opus_std-dict
parentless	eng-30-01733982-a	having no parent or parents or not cared for by parent surrogates	r_a-16633	ouderloos	google_bing_opus_std-dict
haemolytic	eng-30-03007530-a	relating to or involving or causing hemolysis	d_a-108046	hemolytisch	automatic-rule-1_google_bing_opus_std-dict
pentangular	eng-30-02834730-a	of or relating to or shaped like a pentagon	d_a-316564	vijfhoekig	automatic-rule-1_google_std-dict
geothermal	eng-30-02735669-a	of or relating to the heat in the interior of the earth	d_a-90583	geothermisch	automatic-rule-1_bing_opus_std-dict
philological	eng-30-03019955-a	of or relating to or dealing with philology	r_a-10683	filologisch	google_std-dict
consular	eng-30-03056304-a	having to do with a consul or his office or duties	r_a-9831	consulair	bing_opus_alt-dict
transpolar	eng-30-02838470-a	extending across or crossing either pole	d_a-294328	transpolair	automatic-rule-1_google_bing_std-dict
spacial	eng-30-02841066-a	pertaining to or involving or having the nature of space	r_a-14652	ruimtelijk	google_std-dict
subarctic	eng-30-02804139-a	of or relating to latitudes just south of the Arctic Circle	d_a-277526	subarctisch	automatic-rule-1_bing_opus_std-dict
alarming	eng-30-00193015-a	frightening because of an awareness of danger	d_a-19222	alarmerend	automatic-rule-1_bing_opus_std-dict
unconstitutional	eng-30-00180211-a	not consistent with or according to a constitution; contrary to the U.S. Constitution	r_a-13554	ongrondwettig	google_bing_opus_std-dict
