lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
uiltje	r_n-38925	odwn-10-102463605-n	n	kleine uil;little owl	eng-30-01621127-n	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes					
overdruk	r_n-27062	odwn-10-103237172-n	n	losse afdruk v.e. artikel;print loose of a article	eng-30-03931044-n	a visual representation (of an object or scene or person or abstraction) produced on a surface					
bokssport	r_n-7927	odwn-10-103185721-n	n	sport	eng-30-00523513-n	an active diversion requiring physical exertion and competition					
organiseren	r_v-5942	odwn-10-101695383-v	v	opzetten;set	eng-30-00404642-v	bring order and organization to					
repetitie	r_n-31392	odwn-10-103909078-n	n	herhaling	eng-30-00624738-n	the activity of exerting your muscles in various ways to keep fit					
clubblad	r_n-9470	odwn-10-102944965-n	n	tijdschrift v.e. club;magazine of a club	eng-30-03704210-n	product consisting of a paperback periodic publication as a physical object					
plantengroei	r_n-28731	odwn-10-101223180-n	n	groei van planten;growth of plants	eng-30-13489037-n	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level					
vuurdoorn	r_n-42040	odwn-10-108421218-n	n	struik met knalrode besjes	eng-30-13112664-n	a low woody perennial plant usually having several major stems					
brainstormen	r_v-1854	odwn-10-107789662-v	v	suggesties opperen;suggestions put forward	eng-30-00628491-v	'use or exercise the mind or one''s power of reason in order to make inferences, decisions, or arrive at a solution or judgments'					
hebberd	r_n-16462	odwn-10-100612405-n	n	hebzuchtig iemand;greedy person	eng-30-00007846-n	a human being					
uithaal	r_n-39003	odwn-10-106486705-n	n	beweging met arm of been;motion with arm or leg	eng-30-00331950-n	a change of position that does not entail a change of location					
achtbaan	r_n-2567	odwn-10-106488069-n	n	roetsjbaan op kermis of in pretpark;roller coaster at amusement or theme park	eng-30-06615561-n	an entertainment that is offered to the public					
vork	r_n-41722	odwn-10-102766573-n	n	eetgerei v.e. steel met vier punten	eng-30-04381994-n	articles for use at the table (dishes and silverware and glassware)					
overstromen	r_v-6095	odwn-10-108209201-v	v	vol zijn met;are full of	eng-30-02066939-v	move along, of liquids					
kookwas	r_n-20430	odwn-10-101266420-n	n	zeer heet wasprogramma;very hot wash	eng-30-03648219-n	garments or white goods that can be cleaned by laundering					
opkrassen	r_v-5639	odwn-10-100863443-v	v	ophoepelen;buzz off	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
uitrusting	r_n-39083	odwn-10-105498484-n	n	benodigdheden	eng-30-03729951-n	things needed for doing or making something					
saboteren	r_v-6895	odwn-10-102913740-v	v	stuk maken uit protest;piece make protest	eng-30-02557199-v	hinder or prevent the progress or accomplishment of					
vrijlaten	r_v-9860	odwn-10-101615355-v	v	onbezet laten;leave unoccupied	eng-30-02367363-v	perform an action, or work out or perform (an action)					
plankenkoorts	r_n-28716	odwn-10-108836441-n	n	angst voor een optreden;fear of action	eng-30-07519253-n	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)					
slipgevaar	r_n-34166	odwn-10-101224520-n	n	gevaar om te slippen op een gladde weg;danger of a slippery road	eng-30-14540765-n	the condition of being susceptible to harm or injury					
bemiddeling	r_n-6595	odwn-10-109610854-n	n	interventie	eng-30-00036762-n	a notable achievement					
platspuiten	r_v-6313	odwn-10-106274679-v	v	door spuitjes kalmeren;by soothe syringes	eng-30-00088532-v	have an intoxicating effect on, of a drug					
opdraven	r_v-5466	odwn-10-108842202-v	v	naar boven rennen;run upstairs	eng-30-00124442-v	go or proceed from one point to another					
VOO	r_n-41500	odwn-10-108090004-n	n	Nederlandse omroepvereniging	eng-30-08002015-n	a company that manages tv or radio stations					
borstplaat	r_n-8151	odwn-10-100196366-n	n	lekkernij	eng-30-07557165-n	something considered choice to eat					
oprichting	r_n-26712	odwn-10-106827764-n	n	start v.e. vereniging, bedrijf etc.;start of a association , company , etc.	eng-30-15265518-n	the time at which something is supposed to begin					
koersen	r_v-4045	odwn-10-108986100-v	v	koers zetten (naar);set sail for	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
opkomen	r_v-5633	odwn-10-102890827-v	v	populair worden;are popular	eng-30-02624263-v	come into existence; take on form or shape					
bloei	r_n-7628	odwn-10-100556197-n	n	het bloeien	eng-30-00024720-n	the way something is with respect to its main attributes					
expediteur	r_n-12824	odwn-10-105149034-n	n	vrachtvervoerder;freight forwarder	eng-30-10060352-n	someone who organizes a business venture and assumes the risk for it					
omroepwet	r_n-25746	odwn-10-100511803-n	n	wet mbt. de omroep;law about the broadcaster	eng-30-06652242-n	prescribed guide for conduct or action					
instructie	r_n-18054	odwn-10-104999019-n	n	opdracht die iemand moet uitvoeren;command to execute someone	eng-30-00883297-n	the activities of educating or instructing; activities that impart knowledge or skill					
pottenbakker	r_n-29404	odwn-10-106579454-n	n	iemand die aardewerken potten bakt;someone who bakes pottery	eng-30-09614315-n	a person who grows or makes or invents things					
profiteren	r_v-6474	odwn-10-103977599-v	v	profijt hebben van;benefit from	eng-30-01158872-v	put into service; make work or employ for a particular purpose or for its inherent or natural purpose					
tijdsgewricht	r_n-37705	odwn-10-103162391-n	n	periode;period	eng-30-15134340-n	the complete duration of something					
gegijzelde	r_n-14276	odwn-10-101483934-n	n	degene die gegijzeld is;the one who is taken hostage	eng-30-10476086-n	a person who is confined; especially a prisoner of war					
slordigheid	r_n-34208	odwn-10-102160207-n	n	gebrek aan zorgvuldigheid;lack of care	eng-30-06193203-n;eng-30-04616059-n	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways					
FIOD	r_n-13304	odwn-10-106717109-n	n	fiscale dienst;tax service	eng-30-08186047-n	a company or agency that performs a public service; subject to government regulation					
opjagen	r_v-5609	odwn-10-100255115-v	v	van mensen;of people	eng-30-00153263-v	make bigger or more					
kraam	r_n-20660	odwn-10-107863883-n	n	tentje op een markt;tent on a market	eng-30-04411264-n	a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)					
scharrelen	r_v-6968	odwn-10-104730893-v	v	overal zoeken en bijeenbrengen;everywhere seek and gather	eng-30-01315613-v	try to locate or discover, or try to establish the existence of					
negligé	r_n-24828	odwn-10-100773837-n	n	huisgewaad;house robe	eng-30-02807616-n	a loose-fitting robe of towelling; worn after a bath or swim					
stierennek	r_n-35870	odwn-10-109669309-n	n	nek v.e. stier	eng-30-05546540-n	the part of an organism (human or animal) that connects the head to the rest of the body					
piëteit	r_n-28479	odwn-10-100192744-n	n	eerbiedige nagedachtenis;respectful remembrance	eng-30-06206800-n	an attitude of admiration or esteem					
woud	r_n-43610	odwn-10-109669163-n	n	bos;forest	eng-30-08438533-n	the trees and other plants in a large densely wooded area					
zweefduik	r_n-44579	odwn-10-105714817-n	n	sprong waarbij je horizontaal landt;jump where you land horizontally	eng-30-00442981-n	a headlong plunge into water					
zonnebrand	r_n-44332	odwn-10-100576256-n	n	stralende hitte v.d. zon;radiant heat of the sun	eng-30-05016753-n	the quality of having a moderate degree of heat					
ontspanningspolitiek	r_n-26247	odwn-10-105006232-n	n	politiek t.b.v. goede verhoudingen;politics serving good relations	eng-30-01124794-n	the act of governing; exercising authority					
fokkenist	r_n-13459	odwn-10-108837098-n	n	fokkenmaat;breed size	eng-30-10546633-n	'any member of a ship''s crew'					
verwennen	r_v-9484	odwn-10-106157103-v	v	altijd zijn of haar zin geven;always give his or her sentence	eng-30-02527651-v	make a mess of, destroy or ruin					
huismiddel	r_n-17369	odwn-10-102506275-n	n	eenvoudig geneesmiddel	eng-30-04074482-n	a medicine or therapy that cures disease or relieve pain					
opteren	r_v-5832	odwn-10-105103345-v	v	kiezen voor;choose	eng-30-01771535-v	undergo an emotional sensation or be in a particular state of mind					
naald	r_n-24498	odwn-10-100326827-n	n	onderdeel v.e. injectiespuit;part of a syringe	eng-30-03816136-n	a sharp pointed implement (usually steel)					
rei	r_n-31122	odwn-10-101915031-n	n	koor dat optrad tijdens klassieke toneelstukken;choir that performed in classic plays	eng-30-08187837-n	a group of people assembled to sing together					
overslaan	r_v-6070	odwn-10-101912075-v	v	een lading overbrengen;transfer a cargo	eng-30-01511706-v	cause to move forward with force					
cabine	r_n-8941	odwn-10-103160084-n	n	ruimte waar men zich kan omkleden;space where one can change clothes	eng-30-02873839-n;eng-30-02884011-n	small area set off by walls for special use					
afmaker	r_n-2918	odwn-10-100657976-n	n	scoorder	eng-30-10462860-n	someone who practices a learned profession					
overkapping	r_n-27149	odwn-10-108600056-n	n	dak;kapconstructie	eng-30-04105068-n	a protective covering that covers or forms the top of a building					
tussenkomst	r_n-38767	odwn-10-101538219-n	n	het tussenbeide komen	eng-30-00036762-n	a notable achievement					
schutter	r_n-33433	odwn-10-105764209-n	n	lid v.e. schutterij	eng-30-10593115-n	a person who shoots (usually with respect to their ability to shoot)					
wachtgeld	r_n-42155	odwn-10-105409376-n	n	bepaalde uitkering voor ambtenaren;specific allowance for civil servants	eng-30-13384557-n	the most common medium of exchange; functions as legal tender					
programmaboekje	r_n-29862	odwn-10-108801180-n	n	boekje met opsomming van gebeurtenissen;booklet listing of events	eng-30-06410904-n	a written work or composition that has been published (printed on pages bound together)					
zet	r_n-44047	odwn-10-106063891-n	n	handeling, daad;act , act	eng-30-00036762-n	a notable achievement					
onderminister	r_n-25921	odwn-10-106112427-n	n	functie onder die van minister;function below that of minister	eng-30-09623038-n	a person who rules or guides or inspires others					
congestie	r_n-9811	odwn-10-101478154-n	n	bloedophoping;blood accumulation	eng-30-00357680-n	the act of increasing the density of something					
bulldozer	r_n-8809	odwn-10-108426039-n	n	grondschuiver;land slide	eng-30-03996416-n	a machine for excavating					
alliteratie	r_n-3316	odwn-10-105630302-n	n	rijm op beginletters;rhyme by initial letters	eng-30-04745370-n	the quality of lacking diversity or variation (even to the point of boredom)					
speerpuntactie	r_n-34901	odwn-10-106763153-n	n	kortdurende (stakings)actie;short-term strike action	eng-30-01168369-n	a protest action by labor or minority groups to obtain their demands					
poolcirkel	r_n-29182	odwn-10-107117175-n	n	elk van beide cirkels rond de polen;each of the two circles around the poles	eng-30-13873502-n	ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point					
faalangst	r_n-12913	odwn-10-100619926-n	n	angst om te mislukken;fear of failure	eng-30-07519253-n	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)					
spetter	r_n-34970	odwn-10-109408597-n	n	knappe man/vrouw;handsome man or woman	eng-30-00007846-n	a human being					
heer	r_n-16494	odwn-10-103925494-n	n	beschaafd iemand;civilized person	eng-30-10287213-n	an adult person who is male (as opposed to a woman)					
roep	r_n-31884	odwn-10-103158890-n	n	massale eis;massive demand	eng-30-07191279-n	an urgent or peremptory request					
kneuzen	r_v-4006	odwn-10-102856828-v	v	door drukken beschadigen;by pressing damage	eng-30-00258857-v	inflict damage upon					
mensensmokkel	r_n-23609	odwn-10-104244448-n	n	het illegaal mensen over de grens halen;catch people illegally across the border	eng-30-01112132-n	secretly importing prohibited goods or goods on which duty is due					
runner	r_n-32292	odwn-10-105862970-n	n	wieltje aan gordijnrail;wheel at curtain rail	eng-30-04574999-n	a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)					
terugtrekken	r_v-7862	odwn-10-100898687-v	v	achteruit verplaatsen;backward move	eng-30-01511706-v	cause to move forward with force					
heer	r_n-16496	odwn-10-102821174-n	n	koning in het kaartspel	eng-30-02962545-n	one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes					
germanisme	r_n-14759	odwn-10-106449262-n	n	barbarisme uit het Duits;barbarism German	eng-30-00424934-n	a brutal barbarous savage act					
atoomproef	r_n-4133	odwn-10-107418523-n	n	proef met atoombommen	eng-30-00639556-n	the act of conducting a controlled test or investigation					
drijfjacht	r_n-11569	odwn-10-100490076-n	n	opjagen van dieren;raising of animals	eng-30-00319939-n	the act of pursuing in an effort to overtake or capture					
lijfsbehoud	r_n-22211	odwn-10-106344252-n	n	het redden v.h. eigen leven	eng-30-00093483-n	recovery or preservation from loss or danger					
spanningsverschil	r_n-34789	odwn-10-105155474-n	n	verschil in spanning	eng-30-04748836-n	the quality of being unlike or dissimilar					
voorspelen	r_v-9756	odwn-10-104980017-v	v	spelend voordoen;arise playing	eng-30-01072949-v	participate in games or sport					
geschil	r_n-14792_sub_1	odwn-10-107488093-n	n		eng-30-00958896-n	an open clash between two opposing groups (or individuals)					
antropologie	r_n-3681	odwn-10-106339186-n	n	wetenschap v.d. mens;science of the man	eng-30-05999797-n	a particular branch of scientific knowledge					
veeg	r_n-39680	odwn-10-108491259-n	n	streep als gevolg v.e. veeg;streak because of a wipe	eng-30-00331950-n	a change of position that does not entail a change of location					
derdegraadsverbranding	r_n-10704	odwn-10-104171508-n	n	zware verbranding v.h. lichaam;heavy combustion v.h body	eng-30-14289590-n	an injury caused by exposure to heat or chemicals or radiation					
uitdrijven	r_v-8256	odwn-10-105398776-v	v	uitbannen;banish	eng-30-01902783-v	be in motion due to some air or water current					
exercitie	r_n-12815	odwn-10-109048624-n	n	wapenoefening;arm exercise	eng-30-00624738-n	the activity of exerting your muscles in various ways to keep fit					
bibberatie	r_n-7204	odwn-10-104419513-n	n	rilling	eng-30-00331950-n	a change of position that does not entail a change of location					
aftrap	r_n-3007	odwn-10-106284052-n	n	eerste trap in een wedstrijd;first step in a match	eng-30-15265518-n	the time at which something is supposed to begin					
looneis	r_n-22526	odwn-10-101030107-n	n	geëiste verhoging v.h. loon;demanded increase v.h wage	eng-30-07191279-n	an urgent or peremptory request					
kersttoespraak	r_n-19420	odwn-10-105094390-n	n	toespraak rond kerst;speech at Christmas	eng-30-07238694-n	the act of delivering a formal spoken communication to an audience					
ezel	r_n-12894	odwn-10-101535097-n	n	paardachtig dier;horse-like animal	eng-30-01861778-n	any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk					
weken	r_v-10091	odwn-10-106539682-v	v	vuil loslaten;loose dirt	eng-30-01299758-v	come to be detached					
uitrijden	r_v-8448_sub_1	odwn-10-108827521-v	v		eng-30-01955984-v	be carried or travel on or in a vehicle					
honingraat	r_n-17055	odwn-10-106841991-n	n	bewaarplaats voor honing van bijen;repository for honey bees	eng-30-09369169-n	a structure in which animals lay eggs or give birth to their young					
administreren	r_v-419	odwn-10-106917662-v	v	(een zaak) beheren;one case Manage	eng-30-01000214-v	make a record of; set down in permanent form					
afvalproduct	r_n-3028	odwn-10-103294718-n	n	product gemaakt uit afval;products made from waste	eng-30-14856263-n	any materials unused and rejected as worthless or unwanted					
staatslening	r_n-35402	odwn-10-104582586-n	n	lening door de staat aangegaan;loan contracted by the state	eng-30-01106808-n	the act of transacting within or between groups (as carrying on commercial activities)					
fijnstampen	r_v-2728	odwn-10-101170745-v	v	door stampen fijn maken;by stamping making fine	eng-30-01414626-v	hit hard with the hand, fist, or some heavy instrument					
zijmuur	r_n-44148	odwn-10-102913988-n	n	muur als zijkant;as a side wall	eng-30-04546855-n	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure					
evangelist	r_n-12745	odwn-10-104007827-n	n	voorganger in evangelisatiebijeenkomst	eng-30-09774783-n	a person who pleads for a cause or propounds an idea					
minestrone	r_n-23931	odwn-10-100855499-n	n	Italiaanse groentesoep;Italian vegetable soup	eng-30-07557434-n	a particular item of prepared food					
stukbijten	r_v-7645	odwn-10-100908655-v	v	bijtend stukmaken;biting piece make	eng-30-00258665-v	render inoperable or ineffective					
rilling	r_n-31740	odwn-10-109720771-n	n	huivering	eng-30-00331950-n;eng-30-00026192-n	a change of position that does not entail a change of location					
bedplassen	r_v-1111	odwn-10-107232101-v	v	in bed plassen;bedwetting	eng-30-01511706-v	cause to move forward with force					
handenbinder	r_n-16233	odwn-10-106890442-n	n	kind dat al je aandacht opeist	eng-30-09917593-n	a young person of either sex					
labiaal	r_n-21192	odwn-10-104046257-n	n	lipklank;labial	eng-30-07115021-n	a speech sound that is not a vowel					
platenmaatschappij	r_n-28780	odwn-10-101907616-n	n	bedrijf dat muziekopnamen produceert;company that produces music recordings	eng-30-08056231-n	an organization created for business ventures					
verzinken	r_v-9547	odwn-10-106859081-v	v	dieper dan de oppervlakte brengen;deeper than the surface bring	eng-30-01494310-v	put into a certain place or abstract location					
sterrenwacht	r_n-35808	odwn-10-101621099-n	n	gebouw voor sterrenkundige waarnemingen	eng-30-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place					
Koreaans	r_n-20539	odwn-10-100780778-n	n	taal in Korea	eng-30-06282651-n	a systematic means of communicating by the use of sounds or conventional symbols					
evenredigheid	r_n-12752	odwn-10-108029534-n	n	juiste verhouding;right relationship	eng-30-13819207-n	the relative magnitudes of two quantities (usually expressed as a quotient)					
afdelingschef	r_n-2846	odwn-10-103805572-n	n	chef v.e. afdeling;chief of a department	eng-30-10104209-n	a person who exercises control over workers					
platbranden	r_v-6299	odwn-10-103587040-v	v	door brand verwoesten;destroy by fire	eng-30-00378664-v	destroy by fire					
basalt	r_n-6017	odwn-10-100173250-n	n	harde steensoort;hard stone	eng-30-14696793-n	'material consisting of the aggregate of minerals like those making up the Earth''s crust'					
Guatemalaan	r_n-15992	odwn-10-108423084-n	n	inwoner Guatemala	eng-30-09625401-n	a person who owes allegiance to that nation					
zijspan	r_n-44153	odwn-10-109767905-n	n	wagentje aan de zijkant v.e. motor	eng-30-04214282-n	conveyance consisting of a small carrier attached to the side of a motorcycle					
nietje	r_n-24999	odwn-10-106827134-n	n	hechtkrammetje	eng-30-03532342-n	a curved or bent implement for suspending or pulling something					
polsstok	r_n-29120	odwn-10-105415885-n	n	lange springstok bij atletiek	eng-30-04317420-n	an implement consisting of a length of wood					
spoor	r_n-35142	odwn-10-102298447-n	n	indruk die iemand of iets heeft achtergelaten;impress someone or something has left	eng-30-13896369-n	a concavity in a surface produced by pressing					
ontbinden	r_v-5243	odwn-10-109250804-v	v	beëindigen;End	eng-30-02680814-v	put an end to a state or an activity					
pincode	r_n-28575	odwn-10-103050092-n	n	code gebruikt in betalingsverkeer;code used in payment	eng-30-00023271-n	the psychological result of perception and learning and reasoning					
giebelen	r_v-2957	odwn-10-109627746-v	v	giechelen;giggle	eng-30-00943837-v	give expression to					
kasplantje	r_n-19147	odwn-10-102261218-n	n	iemand met zwakke gezondheid;someone with poor health	eng-30-00007846-n	a human being					
wanhopen	r_v-9909	odwn-10-101215884-v	v	de moed verliezen;lose heart	eng-30-01810933-v	abandon hope; give up hope; lose heart					
abrikoos	r_n-2500	odwn-10-101819245-n	n	soort vrucht	eng-30-13138308-n	fleshy indehiscent fruit with a single seed: e.g. almond; peach; plum; cherry; elderberry; olive; jujube					
oosterlengte	r_n-26493	odwn-10-104686924-n	n	afstand vanaf de nulmeridiaan	eng-30-05129201-n	the linear extent in space from one end to the other; the longest dimension of something that is fixed in place					
Rabat	r_n-30300	odwn-10-109613573-n	n	hoofdstad Marokko;Morocco capital	eng-30-03151077-n	hanging cloth used as a blind (especially for a window)					
collecteren	r_v-1977	odwn-10-106536731-v	v	geld inzamelen;raise funds	eng-30-01385759-v	to assemble in proper sequence					
taxibedrijf	r_n-37043	odwn-10-107475908-n	n	'bedrijf met taxi''s;company with taxis'	eng-30-08058098-n	an institution created to conduct business					
veldloop	r_n-39786	odwn-10-108610667-n	n	hardloopwedstrijd in het open veld	eng-30-07456188-n	an occasion on which a winner is selected from among two or more contestants					
bal	r_n-5776	odwn-10-106417936-n	n	corpsstudent	eng-30-10665698-n	a learner who is enrolled in an educational institution					
natuurontwikkeling	r_n-24696	odwn-10-108801574-n	n	natuuraanwas;natural growth	eng-30-13464820-n	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)					
distillatie	r_n-11085	odwn-10-106370570-n	n		eng-30-05660268-n	a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)					
vuren	r_v-9873	odwn-10-101118427-v	v	schieten met een vuurwapen;shoot with a firearm	eng-30-01511706-v	cause to move forward with force					
afkrijgen	r_v-584	odwn-10-108828958-v	v	iets kunnen verwijderen;can delete anything	eng-30-00120796-v	cause to move; cause to be in a certain position or condition					
tafeltennistafel	r_n-36846	odwn-10-101923522-n	n	tafel voor tafeltennis	eng-30-04379243-n	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs					
passen	r_v-6191	odwn-10-106724210-v	v	de maat controleren;check the size	eng-30-01494310-v	put into a certain place or abstract location					
sneltreinvaart	r_n-34458	odwn-10-101894529-n	n	zeer snelle vaart;very fast speed	eng-30-05058140-n	a rate (usually rapid) at which something happens					
kaarden	r_v-3749	odwn-10-102638823-v	v	vezels ontwarren;untangle fibers	eng-30-01463520-v	extricate from entanglement					
aandrijfas	r_n-2216	odwn-10-103079413-n	n	as die werktuig doet bewegen;axis which moves tool	eng-30-02764614-n	the center around which something rotates					
noodrantsoen	r_n-25180	odwn-10-104246974-n	n	reserve-eten;spare food	eng-30-07572353-n	a stock or supply of foods					
droombeeld	r_n-11636	odwn-10-101270741-n	n	droomvoorstelling;dream performance	eng-30-05926676-n	a presentation to the mind in the form of an idea or image					
vernietigingswapen	r_n-40339	odwn-10-106172259-n	n	wapen met grote verwoestende kracht;weapons with great destructive power	eng-30-04565375-n	any instrument or instrumentality used in fighting or hunting					
lokken	r_v-4428	odwn-10-103852744-v	v	aantrekkingskracht hebben;have appeal	eng-30-02536557-v	have and exert influence or effect					
methadon	r_n-23691	odwn-10-107518005-n	n	heroïnevervangend middel	eng-30-05696425-n	a person or thing that takes or can take the place of another					
radioamateur	r_n-30364	odwn-10-108204695-n	n	iemand met een zendinstallatie;anyone with a transmitter	eng-30-09786585-n	someone who pursues a study or sport as a pastime					
boreling	r_n-8118	odwn-10-109273623-n	n	pasgeboren kind	eng-30-09827683-n	a very young child (birth to 1 year) who has not yet begun to walk or talk					
knoedel	r_n-19984	odwn-10-108490881-n	n	meelballetje;doughboy	eng-30-04274530-n	any spherically shaped artifact					
uitmaken	r_v-8402	odwn-10-100483527-v	v	doven;deaf	eng-30-00352419-v	become extinguished					
aflezen	r_v-609	odwn-10-103421847-v	v	tot het einde lezen;Read to the end	eng-30-00625119-v	interpret something that is written or printed					
katoog	r_n-19211	odwn-10-102442329-n	n	groenige of bruinige edelsteen;greenish or brownish gemstone	eng-30-14699752-n	a crystalline rock that can be cut and polished for jewelry					
verbanning	r_n-39874	odwn-10-105091807-n	n	het uitzetten of uitgezet zijn;plotting or be expelled	eng-30-01160342-n	the act of punishing					
boterkoek	r_n-8196	odwn-10-100848840-n	n	soort koek;kind of cake	eng-30-07635155-n	'any of various small flat sweet cakes (`biscuit'' is the British term)'					
jassen	r_v-3726	odwn-10-109803511-v	v	(aardappelen) schillen;potatoes peel	eng-30-01262936-v	strip the skin off					
termijnbetaling	r_n-37403	odwn-10-101008589-n	n	afbetaling	eng-30-01120448-n	the act of paying money					
ontwerper	r_n-26283_sub_2	odwn-10-101029909-n	n		eng-30-00007846-n	a human being					
polonaise	r_n-29110	odwn-10-107357925-n	n	dans waarbij men achter elkaar aan loopt;dance in which one walks on succession	eng-30-00537682-n	a style of dancing that originated among ordinary people (not in the royal courts)					
thuisclub	r_n-37623	odwn-10-100139344-n	n	ontvangende sportclub;host sports club	eng-30-08227214-n	a formal association of people with similar interests					
openluchtbad	r_n-26571	odwn-10-107282316-n	n	niet overdekt zwembad;not covered pool	eng-30-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place					
logica	r_n-22438	odwn-10-101901387-n	n	het logisch zijn;be logical	eng-30-14419164-n	the state of being connected					
spellingregel	r_n-34945	odwn-10-108587708-n	n		eng-30-06652242-n	prescribed guide for conduct or action					
scouting	r_n-33453	odwn-10-103176585-n	n	het op talent jagen;chasing the talent	eng-30-00636921-n	systematic investigation to establish facts					
hullen	r_v-3292	odwn-10-103620052-v	v	omhullen met;envelop with	eng-30-01580467-v	enclose or enfold completely with or as if with a covering					
regisseursstoel	r_n-31095	odwn-10-106046492-n	n	bepaalde vouwstoel;some folding chair	eng-30-03001627-n	a seat for one person, with a support for the back					
omkwakken	r_v-5072	odwn-10-102291076-v	v	omvallen;topple	eng-30-01909978-v	cause to overturn from an upright or normal position					
indicatief	r_n-17781	odwn-10-107650731-n	n	aantonende wijs;indicative	eng-30-13801424-n	verb inflections that express how the action or state is conceived by the speaker					
bonzen	r_v-1822	odwn-10-102859213-v	v	kloppend geluid maken;make knocking sound	eng-30-01831531-v	move so as to change position, perform a nontranslational motion					
afkoker	r_n-2893	odwn-10-106972068-n	n	fijnkokende aardappel;fine cooking potato	eng-30-00004475-n	a living thing that has (or can develop) the ability to act or function independently					
slaper	r_n-34036_sub_1	odwn-10-106663430-n	n		eng-30-10757193-n	someone who visits					
uitwas	r_n-39192	odwn-10-106088396-n	n	wat buiten iets uit groeit;what grows out of something	eng-30-04008947-n	any structure that branches out from a central support					
praaien	r_v-6408	odwn-10-104628188-v	v	aanspreken;appeal	eng-30-00752764-v	express the need or desire for; ask for					
slons	r_n-34188	odwn-10-105249794-n	n	slordig iemand;sloppy someone	eng-30-00007846-n	a human being					
aangeven	r_v-60	odwn-10-108728501-v	v	officieel melden;official report	eng-30-02235842-v	convey or reveal information					
vuilmaken	r_v-9871	odwn-10-102135415-v	v	besmeuren;besmirch	eng-30-00126264-v	cause to change; make different; cause a transformation					
winstdaling	r_n-43325	odwn-10-101328839-n	n	afname v.d. winst	eng-30-00351638-n	the act of decreasing or reducing something					
werkloosheidsuitkering	r_n-42970	odwn-10-103023656-n	n	uitkering vanwege werkloosheid;for unemployment benefits	eng-30-01087178-n	government provision for unemployed, injured, or aged people; financed by contributions from employers and employees as well as by government revenue					
oplezen	r_v-5660	odwn-10-100556195-v	v	declameren;declaim	eng-30-00975584-v;eng-30-00626428-v	call out loudly, as of names or numbers					
duimendraaien	r_v-2591	odwn-10-104234923-v	v	nietsdoen;do	eng-30-02110552-v	undergo passive experience of:"We felt the effects of inflation"					
zoeklicht	r_n-44240	odwn-10-100412510-n	n	sterke, gerichte lichtbron;strong , focused light source	eng-30-03636248-n	an artificial source of visible illumination					
gangmaker	r_n-13902	odwn-10-109787280-n	n	propagandist;propagandist	eng-30-09774783-n	a person who pleads for a cause or propounds an idea					
wonen	r_v-10183	odwn-10-109912332-v	v	huizen;houses	eng-30-02637202-v	dwell					
schuifwand	r_n-33383	odwn-10-107493544-n	n	weg te schuiven wand;sliding off wall	eng-30-04546855-n	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure					
konterfeitsel	r_n-20384	odwn-10-109648931-n	n	afbeelding	eng-30-03931044-n	a visual representation (of an object or scene or person or abstraction) produced on a surface					
breedte	r_n-8454	odwn-10-106625464-n	n	afstand tot evenaar	eng-30-05084201-n;eng-30-05002352-n	the property created by the space between two objects or points					
aanslag	r_n-2306	odwn-10-109870198-n	n	het aanslaan van pianotoetsen	eng-30-04928903-n	how something is done or how it happens					
bazelen	r_v-1070	odwn-10-102431714-v	v	dom praten;talk stupid	eng-30-00943837-v	give expression to					
paringsdaad	r_n-27666	odwn-10-102669827-n	n	het paren	eng-30-00844254-n	activities associated with sexual intercourse					
situeren	r_v-7152	odwn-10-104765170-v	v	in ruimte of tijd plaatsen;places in space or time	eng-30-01494310-v	put into a certain place or abstract location					
aankleden	r_v-101	odwn-10-106934761-v	v	versiering aanbrengen;applying decoration	eng-30-01675963-v	make more attractive by adding ornament, colour, etc.					
kerstverlichting	r_n-19423	odwn-10-100700446-n	n	feestelijke verlichting met kerst;fairy lights at Christmas	eng-30-03665366-n	any device serving as a source of illumination					
